YEAR,count
2024,46
2023,154
2022,150
2021,158
2020,113
2019,134
2018,116
2017,104
2016,90
2015,91
2014,64
2013,63
2012,48
2011,47
2010,41
2009,46
2008,38
2007,29
2006,20
2005,18
2004,17
2003,12
2002,5
2001,1
2000,1
1999,3
1998,2
1997,2
1985,1
